1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
2 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 22 
2 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 23 
3 5 9 10 13 16 19 22 
1 5 9 11 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
3 6 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 6 7 10 13 16 19 24 
1 6 7 10 13 16 19 24 
3 6 7 10 13 16 19 24 
3 6 7 10 13 16 19 24 
3 6 8 10 13 16 19 24 
3 6 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 5 8 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 5 8 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 5 9 10 13 16 19 24 
2 5 9 10 13 16 19 24 
1 5 9 10 13 16 19 24 
3 5 9 10 13 16 19 24 
3 5 9 10 13 16 19 24 
2 5 9 11 13 16 19 24 
1 5 9 10 13 16 19 24 
1 5 8 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 23 
3 6 7 10 13 16 19 22 
3 6 8 10 13 16 19 22 
2 6 7 10 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 9 10 13 16 19 23 
3 6 9 10 13 16 19 22 
1 6 9 11 13 16 19 22 
1 6 9 10 13 16 19 22 
3 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 23 
3 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 9 10 13 16 19 23 
3 6 9 10 13 16 19 22 
1 6 9 11 13 16 19 22 
1 6 9 10 13 16 19 22 
3 6 7 10 13 16 19 22 
2 6 7 10 13 16 19 22 
2 6 7 10 13 16 19 23 
3 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
2 6 9 10 13 16 19 22 
1 6 9 10 13 16 19 23 
2 6 9 10 13 16 19 22 
1 6 9 11 13 16 19 22 
1 6 9 10 13 16 19 22 
3 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 23 
3 6 7 10 13 16 19 23 
3 6 7 10 13 16 19 23 
1 6 8 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 6 9 10 13 16 19 23 
2 6 9 10 13 16 19 23 
3 6 9 11 13 16 19 23 
1 6 9 10 13 16 19 23 
3 6 7 10 13 16 19 23 
3 6 7 10 13 16 19 23 
3 6 8 10 13 16 19 23 
2 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
2 6 7 10 13 16 19 23 
3 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
3 6 9 10 13 16 19 22 
1 6 9 11 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 8 11 13 16 19 22 
1 6 8 11 13 16 19 22 
1 6 8 11 13 16 19 22 
1 6 8 12 13 16 19 22 
1 6 8 12 13 16 19 22 
1 6 8 12 13 16 19 22 
3 6 8 12 13 16 19 23 
1 6 8 12 13 16 19 22 
1 6 8 12 14 16 19 22 
1 6 8 12 13 16 19 22 
1 6 8 11 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 9 11 13 16 19 22 
1 6 9 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
2 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
2 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
3 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
3 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 6 8 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 7 10 13 16 19 24 
1 5 8 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 23 
1 5 9 10 13 16 19 22 
1 5 9 11 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
2 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
2 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
3 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
2 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 6 8 10 13 16 19 23 
1 6 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 5 7 10 13 16 19 23 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 7 10 13 16 19 24 
1 5 8 10 13 16 19 24 
1 5 7 10 13 16 19 24 
1 5 7 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 9 10 13 16 19 23 
1 5 9 10 13 16 19 22 
1 5 9 11 13 16 19 22 
1 5 9 10 13 16 19 22 
1 5 8 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 6 8 10 13 16 19 22 
1 6 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
3 4 7 10 13 16 19 22 
1 4 7 10 13 16 19 23 
1 4 7 10 13 16 19 22 
1 5 7 10 13 16 19 22 
1 4 7 10 13 16 19 22 
2 4 7 10 13 16 19 24 
3 5 7 10 13 16 19 24 
1 4 7 10 13 16 19 24 
3 4 7 10 13 16 19 22 
3 6 7 10 13 16 19 22 
